platform_id,rank,rank_delta,puu_id,summoner_name,riot_id_name,riot_id_tag_line,tier,lp,win_cnt,loss_cnt,win_rate,level,icon_id,pro_streamer,name,team_as,most_role,most_champion,rest_cnt,ai_score_avg,winning
NA1,6,0,5TYZxWGyO6x-6OXTm1zJpzTZ1oJ0mWejhf0we0yEsLP0h6072T2n7FbBA0W2tk2QLGVwRzW1WCxYAQ,zz1,zz1,NA1,CHALLENGER,1358,215,145,0.597,135,4249,Streamer,xDavemon,,Middle,"['555', '246', '166', '517', '245']",1,0.0,-3
NA1,94,-1,yldI9iVBDT3TehVIEYrpDNWUluOfb-EqN5oiFzlwImfDCuDWesLSh4LYfzeXMcR0tbQRRmAlgKvZbQ,ttv Tempest,ttv Tempest,NA1,CHALLENGER,890,95,61,0.609,86,1427,Streamer,Tempest,,Middle,"['777', '43', '16', '115', '234']",1,0.0,3
NA1,75,16,3sEXypwAwdY3okRp65S7LKfXqaUR5i8cs9JfijhLZPpPgLJ5TthmzkOSOwP50-ZRAoNQzhgOu3uFuw,Shrimp Shark1,Nobody,AK4,CHALLENGER,938,225,177,0.56,185,7,,,,Middle,"['18', '103', '7', '163', '43']",1,0.0,2
NA1,86,-17,CxAYWs5PqXaAfZTLaa3hX1sbo-hPKJcOsxZFVAtGOgrbc5pYs4R--FaVXs1kJBGWFsQm9f-Iiyy00A,blxscx,blxscx,NA1,CHALLENGER,916,147,98,0.6,72,28,,,,Bot,"['523', '145', '221', '498', '53']",1,0.0,-2
NA1,54,-2,ckEBpfUDhSFymoXEYEaPShBlbqkorbKbIhcsEdutyCN9rlyRb7FaPuodhhMj1HscwhHE8dddfQmK2Q,KagaSumire3,이재원,KR3,CHALLENGER,1027,107,62,0.633,47,29,,,,Top,"['126', '4', '266', '887', '79']",1,0.0,2
NA1,21,2,F8n4I0fISdxEUY8eifPQI4BlxplDJEpOx_pCgIZFiQtLEjgcQnyzMTwqZWKiXXplYzZrTcuUERPkrw,FLY Yuuji,Yuuji,247,CHALLENGER,1148,224,169,0.57,333,3554,pro,Yuuji,MU,Jungle,"['64', '163', '104', '76', '121']",1,0.0,-3
NA1,88,15,HdPvrqdhDpIIHuBBrqhEva3kxDOTu0Vnpo2ILgJZNyfVVRa9nmKSiFj1j9Wq1OwO9DgkYgZt7fiS7A,fromchina1,fromchina1,NA1,CHALLENGER,905,176,128,0.579,84,6498,,,,Supporter,"['111', '526', '497', '432', '117']",1,0.0,-2
NA1,100,-5,E3-xmTftIXk4QTeRgAnJ59ttMqupI39B94cYd4W2Wu2Rfwushu67Rh5H-WD2njNBxN2QprrxlqhA4w,hamz,hamz,NA1,CHALLENGER,883,110,76,0.591,121,6,,,,Bot,"['45', '222', '26', '901', '895']",1,0.0,-1
NA1,23,-6,UgIQ3Xqmock3ZUlV9UOmtXaB4lPGRabvf-_GkMtKr14cbnBAkJ5In787goraf1mH0z4wNkzMcB5uGg,Su Muqiu,ONLY FORWARD,TL7,CHALLENGER,1139,181,127,0.588,113,3890,,,,Bot,"['236', '221', '15', '235', '51']",1,0.0,-2
NA1,93,-34,Rx041-LetlAQkGvLZ95ZaKWUcOh4JzgdDlvWjkqetUVJnUDe9sRkcji_-TxMtBn9EDfdKpBK4IC7iA,16th place,soloq villain,soloq,CHALLENGER,898,242,205,0.541,296,1159,pro,APA,TL,Middle,"['103', '18', '240', '163', '43']",1,0.0,-2
NA1,20,0,5srfFWyUtfyzlal9vzLWaXDFKGkiH01GCC5to7Ri7J65C-l_RH3MnblaNN-1tGAoj-HGPJ5oxRKQNw,randomlydie,randomlydie,NA1,CHALLENGER,1153,158,103,0.605,62,5488,,,,Middle,"['910', '67', '106', '64', '24']",1,0.0,4
NA1,7,14,DMYoXOesaRSASd8b_RyTEl3tRuRYi227Lgg-TYausXyvJR2m19yesjDMdvHmckce230dpirkKCCZqw,yuxinbaby,divine maple,goat,CHALLENGER,1330,88,27,0.765,89,3494,,,,Top,"['114', '887', '777', '121', '234']",1,0.0,4
NA1,80,0,qIjC9KHUPRGr2zen-WqYSIUUCE_paolRdOVIyTzXuWS5-hjW-xg_YLJejxXHidMvkp5_XTj5hHLcfQ,Guaormdan,refugo,4526,CHALLENGER,929,191,150,0.56,72,6505,,,,Bot,"['145', '235', '901', '887', '15']",1,0.0,2
NA1,82,0,4xY78rMQ8rppUBJ2blpL0io5G462vzLGe3JUsg3FGBf2Ktq12V0BOSAg9F0lrWyjR0YCMhKu6zylhw,4zVXskKt4jIMDfIr,Castle,jo13,CHALLENGER,924,132,77,0.632,50,29,,,,Top,"['126', '64', '58', '164', '266']",1,0.0,-1
NA1,42,1,p08ad-06hp7bJwaWlmQcBTDUTydeFPbqslBVgQwVg0d3cbWcTdxqWIVyxxlmTTBSsaNW66Qp2IYnCQ,Shogolol,Shogo,3437,CHALLENGER,1052,170,129,0.569,543,660,,,,Bot,"['96', '523', '119', '110', '235']",1,0.0,-1
NA1,47,-10,WxtDRIgaF6E3n4qht4tuwR2LTKqq2vMsrea7VxnghZpEXqZWT0fIsAmpVhfAd0fMWFWzkGwCft-AHQ,returner,TWO WOLVES,INME,CHALLENGER,1042,185,142,0.566,139,3150,,,,Top,"['126', '79', '266', '24', '777']",1,0.0,-2
NA1,92,-19,XXRhFgquuJGYVb6tCAsrOyqzMDAjfMJ2rmPOE6aKFJJLbrMO5SIGH-ANZ0ND8GFipvBTrixlLACeng,Vamks,Vamks,2005,CHALLENGER,899,228,193,0.542,360,3864,,,,Middle,"['114', '126', '910', '18', '7']",1,0.0,-1
NA1,63,-23,4KMslU9aSpsmImUFTFyL-__v-qHcWDJnPptfWgnp4zb8-DgTdcu5IgoCGUphVpOGXh5aFxJ6cMd00A,,llaLac,LLA,CHALLENGER,994,309,251,0.552,74,23,,,,Bot,"['221', '96', '429', '157', '145']",1,0.0,1
NA1,77,1,oprJfu2-YeLMJmScbIP3sYGfqlIsYWyWn-fxIy2eu8wh5sC6VfLq5odm1HQOWD5sQV5JrexHanvN8Q,X2eXUvy7x729i493,giga disgusting,123,CHALLENGER,933,160,106,0.602,54,29,,,,Bot,[],1,0.0,-4
NA1,65,11,zgaDl7JSm6YHGuC929AcdnRpqozfWsvUFOWpFcIGtQuzQstQE5tYwSM0b9pmfEuCRGFl5E9-dxR73Q,ImNxi,ImNxi,NA1,CHALLENGER,986,175,128,0.578,189,29,pro,Nxi,,Jungle,"['64', '200', '203', '163', '76']",1,0.0,2
NA1,53,19,QG-9BEKnmEWCYr_T9IotNRl173uq8eveY-hszcdMOYRYD8kP_sVOu62Z0YlECn_0sP9xFPSxEFwaSA,Xe9GKFW9KbJyNKxR,Andrew Barton,FLYGM,CHALLENGER,1030,150,91,0.622,53,29,,,,Supporter,"['164', '110', '24', '111', '497']",1,0.0,2
NA1,15,-2,C_puYNrwyMuaGhqC-EWnXKJfAFYnZxfBNsY7q_oGaZ22n4nPFIv1MhXH9yfQHxx2MG7MOg3a62BI1w,jqu6rTseuBYIuGxu,TL UmTi,0602,CHALLENGER,1248,192,124,0.608,61,29,pro,UmTi,TL,Jungle,"['526', '62', '106', '64', '110']",1,0.0,-2
NA1,87,1,tXl75fc1BnruJAo-AeoWDf2Ma_VOfsZ8vRU9ZJALabNGixZLlzmTTGTZ9w-wnmN11atVsnS44BiGCA,notscaredtolose,notscaredtolose,NA1,CHALLENGER,912,69,27,0.719,84,6097,,,,Top,"['92', '67', '84', '126', '429']",1,0.0,7
NA1,78,23,6_gG_15yYZR-aJrpVK8TB4L_xVQfKnBjIRIWucWS_-pCsreBZ2UAyGyC9Q8-9NwsUtE-xVlk5Y7pAw,Hannah Targaryen,Icy,0499,CHALLENGER,932,200,154,0.565,171,5917,,,,Middle,"['136', '18', '61', '43', '901']",1,0.0,5
NA1,97,14,qPXqT6M-wt2ZiJaXUjy3OBPBv4YkuB6WC_E8pOtqlitIYeVIPQgs-cAgJCPuDNtNqC4u9v-wht2NyA,CHAO JI XIAO LU,超级大马,张初恋,CHALLENGER,889,145,96,0.602,103,6503,,,,Middle,"['136', '103', '64', '221', '266']",1,0.0,-1
NA1,57,1,CW3IJ7h2BbskoVwuShFWsEZ9FHS-kAXnc2q5ba2TdWzh4YB9zy2wUOMnJgxpAcKRIRM3RwM4ZTyAcw,DJ Halal,Abyss watcher,141,CHALLENGER,1015,120,78,0.606,98,6004,,,,Middle,"['910', '266', '777', '126', '518']",1,0.0,-1
NA1,58,2,_x3lybYTnPuq0HM4kX_76n6iU7R5EQ-qHXuTtG2kTn1UjhPG2gDnb0M7v2h_IF5WnS2F9V709gdpWw,Remove jg pets,Madara,NA3,CHALLENGER,1005,85,37,0.697,45,7,,,,Jungle,"['203', '163', '234', '64', '141']",1,0.0,3
NA1,59,2,85QPzXAYUMpPPvK4XnHoT9__jDmCKjCt8ufqK6ZeU8rwArh00AJoNNRNq06kOMpIZ3i9X9sHp_0k6A,,llaReble,LLA,CHALLENGER,1005,180,132,0.577,61,23,,,,Supporter,"['22', '111', '235', '432', '910']",1,0.0,-1
NA1,18,0,EBkXx-g1bRjoCooYrCA6NYZAtNYP5paHQPnIHhHy-6VHjhtNypSVrAoMxIAO7b33kR-2BSKSBVWCtw,OaHbmLpng3E27TGS,RRRRRRR,9301,CHALLENGER,1208,290,221,0.568,72,6498,,,,Middle,"['84', '42', '126', '43', '24']",1,0.0,1
NA1,40,1,K5hQ0FIOF-l4nKnHTvHByAH5B-DU9DaZLXOi8ctQBpGTXNhN8L6grjYMfvZWwjctDrm6gGo5WYiwQA,C9 Berserker,C9 Berserker,NA1,CHALLENGER,1056,161,112,0.59,160,29,pro,Berserker,C9,Bot,"['901', '221', '429', '126', '203']",1,0.0,-1
NA1,13,-1,3BRuRkSmBz6rl2Dd_NDlNJNMae1nUxNel_GEOWDtGj1fUQQtsoqSvxmcSNNMzkS7XPgrNfqzvXBVIg,weieryuxin,YuXin,god,CHALLENGER,1274,109,65,0.626,102,3591,,,,Top,"['114', '67', '266', '254', '24']",1,0.0,-2
NA1,45,1,INt6Bqggs1Skpsnf2pRo6xAUtjvkI9FRFQly_NTeQoaQzpfFUcafAvw-ml8hI7g1L5s66BRSpO3Udg,,llaHidan,LLA,CHALLENGER,1046,171,111,0.606,56,29,,,,Top,"['266', '24', '62', '777', '126']",1,0.0,-1
NA1,36,19,D8vFyfLJjKFLE4a-qG1n5HoG0QyBbPHJtQeL0EJNFWBjx9zQ4DcyGw2UTpF_LfdVGF6_zLk9bMt0zw,I will trade,I will trade,NA1,CHALLENGER,1079,160,115,0.582,441,1633,pro,Bwipo,FLY,Top,"['126', '266', '58', '62', '122']",1,0.0,-3
